folder,input_size,time_single,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,output_single
svt_mix2_max,5,113.72933952013652,0.5,0.001,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_mix2_max,7,TIMEOUT,0.5,0.001,example_7.dip,3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,N/A
svt_mix2_max,6,TIMEOUT,0.5,0.001,example_6.dip,3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,N/A
svt_mix2_max,10,TIMEOUT,0.5,0.001,example_10.dip,3,2.8181818181818183,2,11,6.909090909090909,2,11,11,10,5.909090909090909,1,4.600051959355672,,N/A
svt_mix2_max,2,13.202019373575846,0.5,0.001,example_2.dip,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,21.71090356508891,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix2_max,3,32.963058869043984,0.5,0.001,example_3.dip,3,2.5,2,4,3.25,2,4,4,3,2.25,1,120.69400707880656,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_mix2_max,1,4.350394090016683,0.5,0.001,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,4.350049416224162,"{ ""DP"": 1}","{ ""DP"": 1}"
nonpriv_svt,4,4.663800954818726,0.5,0.001,example_4.dip,2,1.6,1,5,3.8,2,5,5,4,2.8,1,4.482946952184041,"{ ""DP"": -1}","{ ""DP"": -1}"
nonpriv_svt,5,4.364017883936564,0.5,0.001,example_5.dip,2,1.6666666666666667,1,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,4.600748618443807,"{ ""DP"": -1}","{ ""DP"": 1}"
nonpriv_svt,2,4.457795858383179,0.5,0.001,example_2.dip,2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,4.2548612753550215,"{ ""DP"": 1}","{ ""DP"": 1}"
nonpriv_svt,3,4.268232663472493,0.5,0.001,example_3.dip,2,1.5,1,4,3.25,2,4,4,3,2.25,1,4.373013099034627,"{ ""DP"": -1}","{ ""DP"": -1}"
nonpriv_svt_max,4,4.515559037526448,0.5,0.001,example_4.dip,2,1.6,1,5,3.8,2,5,5,4,2.8,1,4.525957028071086,"{ ""DP"": -1}","{ ""DP"": 1}"
nonpriv_svt_max,5,4.4197477499643965,0.5,0.001,example_5.dip,2,1.6666666666666667,1,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,5.402740716934204,"{ ""DP"": -1}","{ ""DP"": 1}"
nonpriv_svt_max,2,4.238876263300578,0.5,0.001,example_2.dip,2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,4.283504327138265,"{ ""DP"": 1}","{ ""DP"": 1}"
nonpriv_svt_max,3,4.405433893203735,0.5,0.001,example_3.dip,2,1.5,1,4,3.25,2,4,4,3,2.25,1,4.30557918548584,"{ ""DP"": -1}","{ ""DP"": 1}"
noisy_max,4,271.84107128779095,0.5,0.001,example_4.dip,4,3,2,4,4,4,8,4,3,3,3,TIMEOUT,N/A,"{ ""DP"": 1}"
noisy_max,5,TIMEOUT,0.5,0.001,example_5.dip,5,3.5,2,5,5,5,16,5,4,4,4,TIMEOUT,N/A,N/A
noisy_max,6,TIMEOUT,0.5,0.001,example_6.dip,6,4,2,6,6,6,32,6,5,5,5,TIMEOUT,N/A,N/A
noisy_max,2,5.232248942057292,0.5,0.001,example_2.dip,2,2,2,2,2,2,2,2,1,1,1,4.8448983033498125,"{ ""DP"": 1}","{ ""DP"": 1}"
noisy_max,3,9.181655327479044,0.5,0.001,example_3.dip,3,2.5,2,3,3,3,4,3,2,2,2,21.47746165593465,"{ ""DP"": 1}","{ ""DP"": 1}"
noisy_min,4,320.9623986085256,0.5,0.001,example_4.dip,4,3,2,4,4,4,8,4,3,3,3,TIMEOUT,N/A,"{ ""DP"": -1}"
noisy_min,5,TIMEOUT,0.5,0.001,example_5.dip,5,3.5,2,5,5,5,16,5,4,4,4,TIMEOUT,N/A,N/A
noisy_min,6,TIMEOUT,0.5,0.001,example_6.dip,6,4,2,6,6,6,32,6,5,5,5,TIMEOUT,N/A,N/A
noisy_min,2,5.6666304270426435,0.5,0.001,example_2.dip,2,2,2,2,2,2,2,2,1,1,1,5.754318078358968,"{ ""DP"": 1}","{ ""DP"": 1}"
noisy_min,3,17.589869737625122,0.5,0.001,example_3.dip,3,2.5,2,3,3,3,4,3,2,2,2,24.592096249262493,"{ ""DP"": 1}","{ ""DP"": 0}"
mrange,3,TIMEOUT,0.5,0.001,mrange_3.dip,5,3.75,2,5,4,2,19,4,8,5.2105263157894735,2,TIMEOUT,N/A,N/A
mrange,2,TIMEOUT,0.5,0.001,mrange_2.dip,4,3.1666666666666665,2,4,3.4615384615384617,2,13,3,6,4.153846153846154,2,TIMEOUT,N/A,N/A
mrange,1,11.731587171554565,0.5,0.001,mrange_1.dip,3,2.5,2,3,2.857142857142857,2,7,2,4,3,2,11.371499061584473,"{ ""DP"": 1}","{ ""DP"": 1}"
folder,input_size,time_single,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,output_single
svt_laplace,8,TIMEOUT,0.5,0.001,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,N/A
svt_laplace,9,TIMEOUT,0.5,0.001,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,N/A
